generation,individual_id,LOGLB,NUMG,LOGG,LOGB,TAGW,GHIST,LOGP1,GHIST1,mispredictions,p2 latency,energy per instruction
prior,0,6,6,10,14,10,94,11,9,13169.0,1.61,904.0
prior,1,8,6,12,10,11,62,18,6,29800.0,2.22,3720.0
prior,2,7,8,11,10,10,132,11,4,29672.0,1.94,1376.0
prior,3,6,6,11,13,8,103,11,7,28275.0,1.71,1000.0
prior,4,7,4,10,12,13,111,15,6,14872.0,1.7,1318.0
prior,5,8,7,10,11,10,102,12,12,29301.0,1.78,1822.0
prior,6,8,5,12,12,10,171,12,9,31244.0,2.1,1960.0
prior,7,6,8,11,13,10,150,11,5,12141.0,1.79,1342.0
prior,8,5,8,12,10,10,110,19,10,12331.0,2.36,3542.0
prior,9,5,8,12,8,13,109,16,4,12233.0,2.14,2341.0
prior,10,6,7,11,9,12,199,18,4,12405.0,2.05,2245.0
prior,11,4,4,12,8,10,200,17,4,13651.0,1.8,1679.0
prior,12,8,6,12,8,8,74,17,8,24743.0,2.24,3163.0
prior,13,4,5,10,13,12,151,17,8,16464.0,1.67,1905.0
prior,14,8,4,12,14,13,116,16,5,14046.0,1.95,2548.0
prior,15,7,4,10,8,9,52,18,7,30011.0,1.53,1838.0
prior,16,6,5,12,11,12,134,13,6,12921.0,2.02,1189.0
prior,17,5,4,9,12,11,69,11,9,14082.0,1.41,490.0
prior,18,7,7,8,10,14,154,13,7,13592.0,1.53,991.0
prior,19,5,5,12,12,11,189,11,4,12565.0,1.99,1302.0
prior,20,4,5,10,14,9,126,19,6,12705.0,1.53,1633.0
prior,21,5,7,12,12,12,63,16,10,12970.0,2.1,2086.0
prior,22,4,5,11,9,8,146,11,6,12345.0,1.62,890.0
prior,23,5,6,12,12,13,72,15,5,13207.0,2.06,1892.0
prior,24,4,8,11,12,9,173,10,4,12075.0,1.81,1626.0
prior,25,5,8,11,14,10,172,18,11,12375.0,2.07,2687.0
prior,26,8,8,10,14,10,173,15,11,28910.0,1.83,2795.0
prior,27,5,8,9,10,11,164,16,9,12727.0,1.65,1429.0
prior,28,7,8,11,11,9,195,15,8,28314.0,1.94,1709.0
prior,29,6,7,9,11,14,181,19,7,13225.0,1.64,1887.0
prior,30,6,8,12,11,10,58,19,12,14370.0,2.46,3718.0
prior,31,7,8,8,14,8,194,13,12,29509.0,1.57,1295.0
prior,32,6,4,8,9,11,179,13,4,15193.0,1.37,487.0
prior,33,5,5,9,9,10,109,20,4,13371.0,1.58,1511.0
prior,34,8,7,8,10,13,62,10,8,14207.0,1.57,1481.0
prior,35,4,8,12,14,8,111,17,10,14075.0,1.97,2901.0
prior,36,7,8,9,9,10,102,16,5,29421.0,1.61,1624.0
prior,37,7,4,8,10,12,198,15,11,15189.0,1.39,922.0
prior,38,6,8,8,10,12,154,17,6,21727.0,1.54,1310.0
prior,39,5,5,12,12,9,199,18,12,14347.0,2.03,2171.0
prior,40,7,4,10,14,8,112,10,9,29918.0,1.53,953.0
prior,41,4,7,8,8,12,61,20,11,13574.0,1.43,1745.0
prior,42,8,7,10,14,9,190,13,5,28381.0,1.73,2195.0
prior,43,5,4,8,14,10,65,18,8,14951.0,1.4,1213.0
prior,44,5,7,8,11,13,71,10,6,13612.0,1.47,749.0
prior,45,7,8,10,9,13,75,11,5,13036.0,1.71,1223.0
prior,46,4,7,10,8,9,58,16,11,13476.0,1.57,1607.0
prior,47,8,7,10,13,12,120,10,6,13396.0,1.79,1972.0
prior,48,7,8,12,10,14,165,16,7,12085.0,2.21,2349.0
prior,49,6,7,10,8,14,52,20,8,15551.0,1.74,2194.0
prior,50,5,6,10,11,11,113,20,6,12660.0,1.73,1960.0
prior,51,6,6,12,11,8,139,19,7,28213.0,2.06,2360.0
prior,52,6,5,11,8,9,62,19,9,28542.0,1.82,1806.0
prior,53,4,8,11,14,12,133,17,6,11967.0,1.79,2867.0
prior,54,5,5,8,10,10,138,13,11,14080.0,1.37,569.0
prior,55,6,8,11,11,14,150,12,6,12143.0,1.91,1354.0
prior,56,4,6,10,10,13,145,15,4,11957.0,1.56,1565.0
prior,57,7,4,9,9,12,82,15,9,15486.0,1.53,936.0
prior,58,7,5,8,10,10,103,15,7,28354.0,1.51,973.0
prior,59,4,6,9,11,11,169,14,12,19256.0,1.46,1069.0
prior,60,6,6,12,11,10,70,16,5,14559.0,1.97,1767.0
prior,61,5,8,11,13,10,146,17,12,12184.0,1.85,2210.0
prior,62,4,5,9,9,13,98,13,9,13073.0,1.46,781.0
prior,63,4,5,11,10,11,183,19,4,12120.0,1.8,1724.0
prior,64,4,4,9,10,8,187,13,11,15453.0,1.38,622.0
prior,65,6,6,10,8,14,88,16,10,16484.0,1.77,1483.0
prior,66,5,8,12,8,9,104,12,7,14382.0,1.93,1675.0
0,68,8,8,9,13,8,100,20,9,25156,1.61,4714.0
0,69,6,7,12,8,9,105,18,12,29249,2.18,2598.0
0,70,6,6,8,10,10,138,16,9,14049,1.41,993.0
0,71,5,4,11,12,13,128,15,8,13581,1.75,1181.0
0,72,8,5,12,14,12,193,10,7,15283,2.16,2080.0
0,73,4,7,10,13,11,117,16,4,12209,1.6,1828.0
0,74,7,4,9,10,10,188,20,10,31286,1.52,2849.0
0,75,4,7,9,8,11,134,12,11,19278,1.5,952.0
0,76,8,8,12,8,10,197,19,7,29184,2.35,4646.0
0,77,4,5,9,10,13,125,19,8,12746,1.48,1296.0
0,78,6,5,12,10,14,94,10,8,13124,1.97,1033.0
0,79,5,7,11,10,14,78,11,6,14498,1.83,1198.0
0,80,5,5,8,13,14,121,11,5,13897,1.41,578.0
0,81,5,6,9,8,9,63,13,10,14313,1.48,631.0
0,82,7,8,12,14,13,61,18,12,13164,2.14,3265.0
0,83,7,5,9,14,8,58,18,8,29453,1.57,2102.0
0,84,5,8,9,8,9,199,15,5,14497,1.56,1376.0
0,85,4,6,10,12,14,137,20,8,12095,1.54,2078.0
0,86,4,4,12,14,13,84,12,5,13744,1.86,1462.0
0,87,6,8,8,9,12,171,10,6,22317,1.53,792.0
0,88,6,6,9,10,14,136,13,5,12601,1.55,818.0
0,89,6,6,10,12,14,110,14,9,16150,1.67,1199.0
0,90,7,5,10,11,13,179,16,8,13380,1.8,1624.0
0,91,6,4,10,10,8,179,10,7,30002,1.49,570.0
0,92,7,5,11,8,10,124,15,11,28111,1.88,1393.0
0,93,4,7,10,12,8,95,16,11,12785,1.52,1645.0
0,94,6,4,11,14,11,132,20,11,14138,1.71,1912.0
0,95,8,8,11,9,8,174,17,9,23763,2.17,3291.0
1,96,8,4,12,14,8,74,17,9,26919,1.98,3710.0
1,97,7,6,10,8,8,112,10,8,28862,1.62,881.0
1,98,4,4,11,9,13,128,11,8,16743,1.64,852.0
1,99,5,5,11,12,8,146,15,6,27165,1.75,1053.0
1,100,6,5,8,10,14,121,17,5,14188,1.47,1052.0
1,101,5,8,8,13,12,154,11,6,13330,1.47,820.0
1,102,5,5,8,10,10,109,15,4,14210,1.41,648.0
1,103,7,5,9,9,10,103,20,7,27549,1.63,2839.0
1,104,6,5,9,11,12,134,13,6,13138,1.51,748.0
1,105,4,6,10,12,14,137,16,9,12115,1.6,1491.0
1,106,6,6,8,10,10,138,20,8,14022,1.46,1661.0
1,107,6,8,11,13,10,146,17,12,12421,1.86,1970.0
1,108,5,8,12,9,12,171,10,10,12000,2.02,1737.0
1,109,6,8,8,10,10,110,19,6,13789,1.47,1720.0
1,110,4,7,10,14,9,125,19,5,12376,1.57,2022.0
1,111,8,5,9,10,13,190,16,8,14521,1.69,2002.0
1,112,6,7,10,11,11,181,16,4,13091,1.75,1635.0
1,113,4,7,9,13,14,117,19,7,12554,1.55,1776.0
1,114,6,5,11,8,9,62,10,9,28421,1.73,684.0
1,115,6,8,12,12,13,103,15,10,12266,2.29,2274.0
1,116,7,5,8,10,10,105,18,7,27726,1.53,1804.0
1,117,4,4,11,14,11,132,20,4,13633,1.62,1833.0
1,118,6,6,10,10,13,145,15,11,12571,1.64,1242.0
1,119,6,4,8,13,14,179,13,4,14876,1.4,611.0
1,120,7,5,10,8,9,62,18,7,28925,1.7,1885.0
1,121,6,4,11,8,9,52,19,9,28325,1.7,1686.0
1,122,4,8,10,14,10,173,15,11,12163,1.73,2158.0
1,123,8,7,9,8,11,134,12,11,28934,1.62,1619.0
1,124,7,7,11,12,8,199,16,9,27842,1.87,1821.0
1,125,5,4,10,14,12,63,10,10,13614,1.52,685.0
1,126,4,6,9,11,11,62,14,12,16597,1.45,1053.0
1,127,8,7,8,10,13,169,10,8,14179,1.58,1492.0
1,128,4,7,8,10,14,95,13,7,13116,1.42,904.0
1,129,7,7,10,12,8,154,16,11,28507,1.71,2126.0
1,130,4,7,10,13,11,117,15,4,12263,1.63,1581.0
1,131,4,6,10,10,13,145,16,4,11924,1.58,1380.0
1,132,6,8,11,8,9,150,11,5,30123,1.87,1114.0
1,133,5,6,9,13,10,63,13,10,13578,1.47,707.0
1,134,5,8,9,10,11,189,16,9,12749,1.65,1433.0
1,135,5,5,12,12,11,164,11,4,12818,1.99,1302.0
1,136,7,6,12,11,10,194,16,12,29359,2.0,2185.0
1,137,6,8,8,14,8,70,13,5,29539,1.49,1137.0
1,138,7,5,9,9,12,82,15,9,13843,1.65,1215.0
1,139,4,4,9,9,13,98,13,9,14397,1.4,629.0
1,140,6,8,11,13,12,151,11,8,12199,1.95,1521.0
1,141,4,5,10,13,10,150,17,5,12417,1.59,1386.0
1,142,4,7,10,14,9,190,13,11,12647,1.53,1385.0
1,143,8,7,10,8,9,58,16,5,28044,1.82,2493.0
1,144,5,4,9,10,8,187,11,5,29938,1.4,469.0
1,145,4,5,8,13,14,108,13,11,13852,1.43,807.0
1,146,7,6,9,10,14,136,13,5,19133,1.6,1130.0
1,147,6,8,11,10,10,132,14,4,12447,1.85,1431.0
1,148,7,4,10,11,11,82,15,9,15008,1.66,1235.0
1,149,5,6,9,9,12,113,20,6,17717,1.64,1724.0
1,150,5,8,11,14,13,71,10,11,12959,1.95,1684.0
1,151,5,7,8,11,10,172,18,6,13536,1.46,1432.0
1,152,6,7,11,12,13,72,18,5,12864,2.07,2381.0
1,153,5,6,12,9,12,199,15,4,12679,2.05,1810.0
1,154,4,8,10,12,9,173,15,4,12372,1.59,1581.0
1,155,8,8,11,14,10,173,10,11,29090,1.94,2486.0
1,156,8,7,8,10,11,164,10,9,29124,1.56,1492.0
1,157,5,8,9,10,13,62,16,8,13385,1.67,1500.0
1,158,8,8,12,11,11,148,19,7,29347,2.6,5935.0
1,159,7,8,12,10,10,58,16,12,27600,2.13,2249.0
1,160,6,6,12,11,11,180,16,4,12348,1.99,1814.0
1,161,6,4,8,9,10,179,13,5,16273,1.36,480.0
1,162,4,6,12,8,12,61,19,11,12685,1.99,2390.0
1,163,6,7,8,11,8,139,20,7,29047,1.49,1782.0
1,164,4,7,9,14,11,130,17,12,18865,1.48,1619.0
1,165,4,8,11,8,12,133,12,6,12010,1.82,1759.0
2,166,4,6,10,13,10,150,17,5,12262,1.61,2203.0
2,167,4,5,9,11,11,62,14,12,16984,1.45,899.0
2,168,4,8,11,9,8,146,11,6,12536,1.78,1516.0
2,169,4,5,11,8,12,133,12,6,12286,1.75,1074.0
2,170,4,6,8,10,10,65,18,4,19250,1.38,998.0
2,171,5,4,10,14,13,145,11,8,17936,1.53,734.0
2,172,7,6,10,8,13,145,16,4,12799,1.84,1698.0
2,173,4,6,10,10,8,112,10,8,12969,1.49,885.0
2,174,7,6,12,9,12,199,11,4,13092,2.03,1296.0
2,175,5,8,10,9,13,75,15,5,15999,1.66,1602.0
2,176,5,7,8,14,10,172,18,6,13452,1.47,1549.0
2,177,5,4,10,11,12,63,10,10,13575,1.47,603.0
2,178,4,8,11,11,12,134,13,6,11929,1.87,2055.0
2,179,6,5,12,8,12,133,16,6,12781,1.98,1452.0
2,180,4,7,8,14,14,130,17,12,13344,1.41,1498.0
2,181,4,6,9,10,9,95,13,12,13028,1.42,773.0
2,182,6,4,10,13,8,179,10,7,29852,1.49,676.0
2,183,5,5,8,10,14,121,11,5,13978,1.43,562.0
2,184,5,6,10,10,11,69,11,9,13335,1.57,789.0
2,185,4,4,9,12,13,145,15,4,14620,1.47,1038.0
2,186,4,5,11,13,14,108,13,6,12348,1.79,1471.0
2,187,5,5,8,12,8,146,15,11,27543,1.42,910.0
2,188,6,6,10,12,8,179,10,7,28495,1.54,784.0
2,189,6,4,10,10,14,110,14,9,17980,1.54,749.0
2,190,6,6,10,12,10,84,20,8,13347,1.59,2053.0
2,191,4,6,8,10,14,138,20,8,13228,1.41,1655.0
2,192,4,6,8,12,12,154,16,6,13283,1.39,954.0
2,193,5,8,10,13,14,137,11,9,12389,1.72,1368.0
2,194,6,8,9,13,10,109,17,12,13599,1.58,1613.0
2,195,5,5,11,9,10,146,20,4,12365,1.91,1919.0
2,196,5,5,9,12,8,134,12,11,27600,1.42,588.0
2,197,4,7,11,8,11,146,15,6,12058,1.73,1751.0
2,198,6,7,9,14,9,125,13,6,29750,1.66,1128.0
2,199,4,5,10,11,12,134,19,5,16765,1.54,1444.0
2,200,4,4,10,14,8,112,15,9,14816,1.4,1044.0
2,201,7,8,10,12,9,190,10,4,29417,1.73,1302.0
2,202,6,4,10,10,13,179,10,11,13993,1.58,640.0
2,203,6,6,10,10,8,145,15,7,28794,1.62,1018.0
2,204,6,7,10,10,10,132,16,4,13125,1.74,1568.0
2,205,4,8,11,13,11,117,14,4,12218,1.79,2122.0
2,206,4,4,8,9,10,169,14,12,22963,1.32,713.0
2,207,6,6,9,11,11,179,13,5,13540,1.53,828.0
2,208,7,8,8,8,10,61,16,5,27701,1.57,1343.0
2,209,6,7,12,10,14,179,13,6,12371,2.09,1532.0
2,210,7,4,12,12,8,189,11,4,29883,1.8,1077.0
2,211,5,5,12,10,11,165,16,7,12920,1.98,1461.0
2,212,5,4,9,12,11,69,16,7,14100,1.38,844.0
2,213,7,8,12,10,14,165,11,9,12193,2.16,1788.0
2,214,5,4,9,10,8,187,13,11,30728,1.41,553.0
2,215,4,4,10,10,8,108,11,5,14761,1.44,648.0
2,216,4,8,9,10,8,187,17,12,14425,1.44,1576.0
2,217,5,4,11,13,10,146,13,11,13702,1.65,802.0
2,218,4,4,8,9,13,125,13,4,15544,1.29,592.0
2,219,6,5,9,10,11,179,19,8,13492,1.56,1529.0
2,220,6,7,10,10,8,117,19,7,29266,1.6,2050.0
2,221,4,4,9,13,14,179,10,7,14459,1.44,725.0
2,222,4,6,10,13,11,94,11,4,12408,1.51,1114.0
2,223,6,7,10,14,10,117,16,9,12811,1.61,1466.0
2,224,4,8,10,14,11,173,15,4,12128,1.59,1891.0
2,225,4,5,11,10,10,150,19,11,12047,1.74,1611.0
2,226,4,7,9,9,8,110,17,5,14312,1.45,1240.0
2,227,4,5,11,14,11,146,11,12,12100,1.8,1323.0
2,228,5,4,9,10,8,121,11,5,30797,1.39,461.0
2,229,5,5,8,13,14,187,11,5,13427,1.41,586.0
2,230,6,8,10,10,12,145,10,4,12543,1.66,1011.0
2,231,4,6,8,9,13,171,16,6,13389,1.38,894.0
2,232,6,6,11,14,10,94,17,9,12781,2.01,2109.0
2,233,6,8,10,13,10,146,12,12,12961,1.61,1142.0
2,234,4,5,8,10,14,95,13,7,14341,1.39,763.0
2,235,6,7,12,11,12,134,13,6,12541,2.02,1460.0
2,236,7,4,11,14,12,198,15,11,13687,1.83,1370.0
2,237,4,8,8,10,12,133,13,6,12820,1.43,935.0
2,238,5,8,11,13,10,128,15,5,12421,1.85,1673.0
2,239,6,4,11,12,13,150,11,8,14003,1.76,778.0
2,240,5,7,8,10,10,65,18,8,14151,1.5,1332.0
2,241,4,4,8,14,8,187,13,11,16099,1.27,662.0
2,242,6,4,8,9,11,109,13,4,15257,1.36,480.0
2,243,5,5,8,10,10,179,15,4,13954,1.41,656.0
2,244,5,4,9,12,11,187,11,11,13840,1.42,505.0
2,245,4,4,9,10,8,69,13,9,15165,1.37,607.0
2,246,4,5,12,8,11,164,12,11,12196,1.93,1439.0
2,247,5,7,9,12,11,134,11,4,12858,1.5,807.0
2,248,4,6,9,11,11,108,13,12,17542,1.47,902.0
2,249,4,5,8,13,14,62,14,11,13865,1.37,928.0
3,250,7,8,11,11,12,134,11,6,12206,1.95,1425.0
3,251,4,5,11,9,8,99,13,6,12789,1.63,963.0
3,252,5,6,10,13,14,137,11,9,12431,1.63,1044.0
3,253,4,8,10,12,14,137,20,8,12076,1.62,2564.0
3,254,4,5,9,9,13,125,19,8,12886,1.46,1270.0
3,255,4,4,8,10,13,125,13,4,15434,1.29,601.0
3,256,4,6,10,10,14,150,19,11,11864,1.57,1709.0
3,257,4,5,11,12,10,137,20,8,12202,1.67,1928.0
3,258,4,5,8,9,11,179,11,5,13465,1.34,547.0
3,259,6,4,11,14,10,146,13,12,14170,1.71,844.0
3,260,5,4,9,9,8,121,10,5,30333,1.37,411.0
3,261,5,8,12,10,12,171,11,10,12032,2.03,1756.0
3,262,5,4,9,11,11,63,10,10,14058,1.37,430.0
3,263,5,7,10,12,12,134,11,4,12194,1.67,1086.0
3,264,4,8,10,11,14,150,12,6,12139,1.68,1628.0
3,265,6,6,11,13,11,94,11,4,12627,1.76,1041.0
3,266,5,6,8,10,10,138,13,9,13456,1.41,626.0
3,267,4,5,10,12,14,137,16,11,12300,1.63,1310.0
3,268,6,5,11,9,14,109,13,6,12612,1.88,1044.0
3,269,4,4,8,13,11,108,13,4,15386,1.34,648.0
3,270,5,5,11,12,8,133,17,6,27304,1.88,1608.0
3,271,4,8,9,14,12,134,12,11,12252,1.53,1288.0
3,272,4,8,10,10,12,145,10,12,16819,1.61,1416.0
3,273,6,6,10,13,11,94,11,4,12767,1.58,889.0
3,274,5,8,12,14,12,171,10,10,11816,2.04,1894.0
3,275,4,4,8,9,8,187,13,10,16001,1.26,461.0
3,276,5,5,8,10,12,134,11,5,14125,1.41,527.0
3,277,6,5,12,11,14,121,13,6,12643,2.07,1249.0
3,278,4,4,12,8,11,164,13,11,13935,1.76,1164.0
3,279,4,5,9,10,8,187,12,11,14786,1.42,723.0
3,280,6,4,11,12,9,179,10,5,29376,1.75,739.0
3,281,4,8,8,9,10,173,13,4,22795,1.42,846.0
3,282,6,8,11,11,10,132,12,4,12456,1.89,1234.0
3,283,6,8,11,10,14,150,14,6,12083,2.06,1705.0
3,284,7,4,8,13,13,125,13,4,22330,1.44,881.0
3,285,4,8,12,11,12,134,13,6,11969,1.97,2474.0
3,286,6,5,11,11,12,134,13,6,12766,1.86,1051.0
3,287,5,4,12,10,8,179,11,7,29890,1.8,847.0
3,288,6,4,10,10,8,121,10,5,29991,1.49,562.0
3,289,5,4,10,10,11,63,11,10,13668,1.49,567.0
3,290,5,6,10,14,12,69,10,9,13151,1.59,1030.0
3,291,4,4,8,14,8,187,14,11,15915,1.26,700.0
3,292,4,4,8,9,10,169,13,12,22912,1.29,500.0
3,293,6,6,10,10,13,112,10,11,12435,1.62,792.0
3,294,8,6,10,10,8,145,15,8,26182,1.73,2413.0
3,295,4,7,10,10,10,173,13,7,12583,1.56,1228.0
3,296,4,8,8,14,14,95,15,11,13040,1.47,1443.0
3,297,5,5,8,9,10,114,17,4,14338,1.39,767.0
3,298,4,8,11,14,10,133,11,6,12260,1.73,1823.0
3,299,6,8,11,13,12,150,17,5,12282,1.88,2025.0
3,300,4,8,9,9,13,69,13,5,13089,1.48,1141.0
3,301,7,4,10,10,8,75,11,9,30079,1.49,785.0
3,302,4,4,9,10,13,145,15,4,14574,1.48,1005.0
3,303,4,6,10,10,8,69,13,9,13585,1.51,1102.0
3,304,4,7,10,13,14,117,16,4,11864,1.66,1979.0
3,305,4,5,11,14,14,187,11,5,11871,1.83,1450.0
3,306,5,5,8,8,11,146,20,12,20628,1.5,1422.0
3,307,4,5,8,11,10,169,14,12,21616,1.39,821.0
3,308,6,4,9,9,12,134,13,6,15164,1.46,548.0
3,309,5,5,10,13,11,146,12,12,12646,1.58,803.0
3,310,6,8,12,12,10,189,11,4,14106,2.03,1557.0
3,311,4,5,9,9,13,138,20,9,12695,1.49,1631.0
3,312,4,6,8,10,14,98,13,8,13340,1.39,780.0
3,313,6,4,8,8,12,133,12,6,21617,1.34,446.0
3,314,4,8,11,9,11,109,13,4,12187,1.85,1943.0
3,315,5,4,8,13,14,121,13,11,14990,1.4,615.0
3,316,5,5,9,10,8,187,11,5,30524,1.44,591.0
3,317,4,5,11,12,12,72,12,6,12866,1.77,1342.0
3,318,5,5,9,12,11,69,13,7,13581,1.47,634.0
3,319,5,4,8,10,10,138,16,11,15750,1.32,767.0
3,320,4,7,9,12,8,187,16,11,14434,1.47,1612.0
3,321,4,4,10,10,8,95,13,11,14290,1.42,759.0
3,322,5,4,11,10,8,133,17,6,30096,1.82,1327.0
3,323,4,8,9,14,12,187,11,5,12406,1.54,1292.0
3,324,6,8,11,12,10,150,11,6,12194,1.87,1210.0
3,325,4,6,8,13,12,154,16,5,13157,1.38,1050.0
3,326,4,6,10,12,14,173,15,11,12437,1.6,1456.0
3,327,4,8,10,14,10,137,20,8,12204,1.67,2363.0
4,328,6,4,8,9,14,179,13,8,15324,1.38,568.0
4,329,4,6,8,10,10,138,20,5,21722,1.45,1475.0
4,330,5,4,9,10,8,168,13,5,30342,1.41,550.0
4,331,4,5,8,14,10,138,13,9,21473,1.37,839.0
4,332,4,5,9,10,8,187,19,5,14731,1.39,1156.0
4,333,5,4,9,10,13,125,11,8,14301,1.43,479.0
4,334,5,5,8,10,10,145,13,11,13913,1.37,570.0
4,335,6,8,9,10,12,75,10,7,13172,1.58,817.0
4,336,4,7,10,14,12,187,11,5,16943,1.62,1526.0
4,337,4,8,9,14,9,125,19,5,12810,1.51,1700.0
4,338,4,5,11,12,10,150,11,11,12007,1.71,1129.0
4,339,6,8,11,10,10,150,19,6,12114,1.99,2334.0
4,340,6,8,8,11,14,150,16,6,13020,1.56,1201.0
4,341,4,6,11,9,13,104,13,6,14260,1.76,1367.0
4,342,4,4,8,14,12,187,13,10,14550,1.33,724.0
4,343,4,8,12,9,8,133,17,6,14174,1.94,3257.0
4,344,6,5,8,9,13,98,12,6,14253,1.41,533.0
4,345,4,4,9,8,12,133,13,9,14803,1.39,685.0
4,346,4,5,9,13,13,90,20,7,13681,1.46,1686.0
4,347,5,4,9,12,8,69,10,9,30207,1.31,444.0
4,348,5,4,9,9,11,121,11,5,15006,1.41,462.0
4,349,6,4,8,8,11,173,15,6,15340,1.34,621.0
4,350,4,4,8,13,9,108,13,4,15772,1.32,619.0
4,351,5,7,10,12,12,134,13,4,12222,1.59,1093.0
4,352,4,4,8,13,11,108,11,4,15471,1.34,549.0
4,353,4,5,11,14,14,97,11,5,12391,1.82,1440.0
4,354,4,6,8,13,14,125,16,4,13158,1.39,1077.0
4,355,4,7,8,12,13,137,13,9,13070,1.4,901.0
4,356,4,6,8,12,12,140,15,8,12922,1.45,1199.0
4,357,4,7,11,8,11,154,16,6,12240,1.82,2018.0
4,358,5,8,12,9,12,171,19,8,12082,2.41,3676.0
4,359,4,5,10,10,13,150,19,11,12129,1.55,1470.0
4,360,4,6,11,10,10,145,15,4,11922,1.69,1516.0
4,361,5,7,10,12,12,65,11,4,13010,1.67,1077.0
4,362,4,6,11,8,14,137,15,6,12067,1.83,1773.0
4,363,4,7,10,12,11,146,20,8,12262,1.56,2275.0
4,364,4,8,8,13,14,62,14,11,13672,1.44,1355.0
4,365,4,5,10,12,14,137,20,8,12597,1.55,1911.0
4,366,6,5,8,13,13,187,10,11,14366,1.45,588.0
4,367,5,6,10,10,14,112,11,5,12148,1.58,852.0
4,368,4,4,8,9,13,125,14,4,15631,1.36,721.0
4,369,5,4,10,12,14,137,20,8,13997,1.66,1687.0
4,370,4,6,8,10,10,138,16,11,21891,1.34,869.0
4,371,4,8,10,14,14,137,19,4,12057,1.72,2407.0
4,372,4,8,10,12,11,173,20,8,12056,1.58,2435.0
4,373,4,8,8,10,14,130,17,6,13123,1.47,1366.0
4,374,4,7,8,14,12,133,13,12,12788,1.41,985.0
4,375,4,7,12,14,9,190,13,10,11912,1.9,2251.0
4,376,5,8,10,14,12,171,10,11,12414,1.63,1309.0
4,377,5,6,8,13,14,137,11,5,13093,1.41,660.0
4,378,5,5,10,13,14,121,11,9,12380,1.62,888.0
4,379,6,4,8,13,11,109,11,4,15413,1.39,507.0
4,380,4,6,10,9,11,94,13,4,12520,1.53,1183.0
4,381,4,7,10,14,9,125,13,12,12306,1.53,1377.0
4,382,4,7,10,14,9,190,19,11,12867,1.57,2031.0
5,383,4,4,8,8,12,133,12,6,15699,1.32,487.0
5,384,4,7,10,13,14,187,11,11,12249,1.68,1574.0
5,385,5,5,8,12,8,95,16,5,27769,1.38,834.0
5,386,4,5,10,10,13,133,19,11,12447,1.55,1468.0
5,387,4,7,8,14,12,150,13,12,13097,1.41,987.0
5,388,6,6,8,9,10,179,20,8,14757,1.46,1639.0
5,389,4,6,10,12,9,190,11,5,12797,1.5,1146.0
5,390,5,5,9,9,13,98,13,10,13481,1.5,636.0
5,391,4,4,9,11,11,63,10,9,17266,1.35,512.0
5,392,5,7,10,14,12,171,10,4,12450,1.61,1167.0
5,393,4,8,12,13,14,117,20,10,14175,2.14,3794.0
5,394,4,6,10,13,11,117,16,4,12169,1.55,1844.0
5,395,4,7,10,13,14,94,11,4,12380,1.67,1559.0
5,396,4,7,10,12,9,145,16,11,12737,1.57,1684.0
5,397,4,6,10,10,8,95,15,4,13000,1.52,1199.0
5,398,7,4,8,14,11,187,13,10,15747,1.47,912.0
5,399,4,7,10,12,12,146,20,8,16871,1.57,2316.0
5,400,8,4,8,11,8,125,13,10,29390,1.42,1269.0
5,401,5,4,10,9,8,134,11,4,30128,1.48,530.0
5,402,7,4,8,12,12,187,13,10,15469,1.45,941.0
5,403,5,4,11,10,10,63,15,4,13560,1.69,1019.0
5,404,4,6,10,10,11,145,11,10,12034,1.57,1131.0
5,405,4,4,8,10,8,187,14,11,16118,1.27,685.0
5,406,4,4,8,12,11,169,13,12,15669,1.3,537.0
5,407,5,7,9,9,10,134,11,4,12926,1.49,701.0
5,408,5,5,8,13,8,187,13,5,30219,1.41,649.0
5,409,4,4,8,14,14,187,11,11,14863,1.3,649.0
5,410,4,7,10,13,12,117,11,5,16277,1.65,1459.0
5,411,6,4,9,9,13,133,12,9,19955,1.48,549.0
5,412,4,5,8,8,12,98,13,6,13878,1.36,692.0
5,413,4,5,10,9,13,150,13,10,12313,1.58,1146.0
5,414,4,4,8,10,8,187,19,11,16078,1.33,912.0
5,415,5,4,8,9,8,121,10,10,30369,1.34,355.0
5,416,4,4,9,14,12,187,13,5,13607,1.45,890.0
5,417,4,7,10,14,10,125,13,5,12264,1.54,1419.0
5,418,6,4,8,9,9,179,13,12,31208,1.35,482.0
5,419,4,4,11,14,11,146,13,12,14157,1.63,1097.0
5,420,4,5,8,14,8,187,11,11,15361,1.35,641.0
5,421,4,5,9,10,8,94,19,4,14560,1.38,1146.0
5,422,4,6,10,9,13,125,13,8,12193,1.63,1353.0
5,423,4,4,8,12,14,108,20,4,15645,1.4,1381.0
5,424,4,6,10,13,11,137,11,8,12257,1.52,1121.0
5,425,4,5,10,10,14,187,11,5,12433,1.53,933.0
5,426,5,6,11,14,12,112,11,5,12261,1.85,1250.0
5,427,4,4,10,10,11,121,11,4,14278,1.47,733.0
5,428,5,8,9,14,8,173,15,5,29811,1.48,1186.0
5,429,4,4,9,10,13,121,13,5,14592,1.4,636.0
5,430,5,4,8,10,8,125,11,4,29892,1.3,374.0
5,431,4,5,11,14,14,187,15,5,11977,1.84,1653.0
5,432,5,6,8,12,12,154,10,6,13356,1.43,595.0
5,433,4,8,12,14,12,171,16,10,11844,2.17,3288.0
